symbol	entrez_id
NCRNA00181	503538
A1BGAS	503538
A1BG-AS	503538
CPAMD9	144568
A2MP	3
A3GALT2P	127550
P1	53947
AACSL	729522
C11ORF67	28971
C20ORF4	25980
C8ORF85	441376
AARS	16
AARSP1	106480683
AARSL	57505
ABC1	19
HDLDT1	19
ABC2	20
ABC3	21
STGD1	24
ABCR	24
RP19	24
STGD	24
ABCA11	79963
ICR2B	26154
PGY1	5243
MDR1	5243
CLCS	5243
PGY3	5244
MDR3	5244
ABC7	22
ABCB10P	56476
ABCB10P2	56476
BSEP	8647
PFIC2	8647
MRP	4363
MRP1	4363
CMOAT	1244
ARA	368
PXE	368
SUR	6833
HRINS	6833
ALD	215
ALDL1	225
PXMP1	5825
PXMP1L	5826
RNASEL1	6059
RNASELI	6059
RNS4I	6059
ABC50	23
WBSCR21	83451
WBSCR26	171022
LINC00035	171022
C20ORF22	26090
C14ORF29	145447
C13ORF6	84945
BAT5	7920
C20ORF135	140701
C19ORF27	81926
FAM108A1	81926
FAM108A2	728917
ABHD17AP2	728917
FAM108A3	728917
FAM108A11P	728917
FAM108A3P	728917
FAM108A4	648359
FAM108A4P	648359
FAM108A5	729495
FAM108A5P	729495
FAM108A6	91219
FAM108A6P	91219
FAM108A7P	644988
FAM108A8P	100133212
FAM108A9P	647144
FAM108A10P	100132251
C9ORF77	51104
FAM108B1	51104
FAM108C1	58489
C4ORF29	80167
SSH3BP1	10006
SSH3BP1P	326268
ABI1P	326268
C9ORF6	54942
FAM206A	54942
FAM206BP	390403
ABL	25
ABLL	27
LIMAB1	3983
ABLIM	3983
C6ORF115	58527
CCDC98	84142
FAM175A	84142
KIAA0157	23172
FAM175B	23172
ACAC	31
ACC	31
MSK16	176
CSPG1	176
AGC1	176
CENTB1	9744
CENTB2	23527
CENTB5	116983
ACAT	38
GOLPH1	64746
GOCAP1	64746
DCP1	1636
ASAH3	125981
ASAH3L	340485
PHCA	55331
YT	43
ACINUS	22985
FY	2532
DARC	2532
CMKBR9	1238
CCBP2	1238
CMKOR1	57007
CXCR7	57007
CCRL1	51554
CCRL1P	285737
CCRL1P1	285737
BAATP1	347275
IREB1	48
IRG1	730249
C14ORF42	641372
PTE1	10005
THEA	26027
THEM2	55856
ACPP	55
ACPT	93650
FACL2	2180
FACL3	2181
FACL4	2182
MRX63	2182
MRX68	2182
FACL5	51703
FACL6	23305
BUCS1	116285
ACSM2	123876
