entrez_id	symbol	chromosome	cytoband	type	synonyms	hgnc_id	ensembl_id	
143888	POGLUT3	11	11q22.3	protein-coding	KDELC2|MGC33424	HGNC:28496	ENSG00000178202	
5988	RFPL1	22	22q12.2	protein-coding	RNF78	HGNC:9977	ENSG00000128250	
5989	RFX1	19	19p13.12	protein-coding	EF-C	HGNC:9982	ENSG00000132005	
146547	PRSS36	16	16p11.2	protein-coding	FLJ90661	HGNC:26906	ENSG00000178226	
5982	RFC2	7	7q11.23	protein-coding	A1|RFC40	HGNC:9970	ENSG00000049541	
5983	RFC3	13	13q13.2	protein-coding	RFC38|MGC5276	HGNC:9971	ENSG00000133119	
5980	REV3L	6	6q21	protein-coding	POLZ|REV3	HGNC:9968	ENSG00000009413	
5981	RFC1	4	4p14	protein-coding	PO-GA|RFC140|MHCBFB	HGNC:9969	ENSG00000035928	
5986	RFNG	17	17q25.3	protein-coding		HGNC:9974	ENSG00000169733	
5987	TRIM27	6	6p22.1	protein-coding	RFP|RNF76	HGNC:9975	ENSG00000204713	
5984	RFC4	3	3q27.3	protein-coding	RFC37	HGNC:9972	ENSG00000163918	
5985	RFC5	12	12q24.23	protein-coding	RFC36	HGNC:9973	ENSG00000111445	
146542	ZNF688	16	16p11.2	protein-coding		HGNC:30489	ENSG00000229809	
57481	KIAA1210	X	Xq24	protein-coding		HGNC:29218	ENSG00000250423	
100132678	RPL7AP45	9	9p11.2	pseudogene		HGNC:35935	ENSG00000275160	
100132677	BSN-DT	3	3p21.31	ncRNA	BSN-AS2	HGNC:42445	ENSG00000226913	
83894	TTC29	4	4q31.22	protein-coding	NYD-SP14	HGNC:29936	ENSG00000137473	
100132673	RPS2P28	6	6p21.1	pseudogene		HGNC:35780	ENSG00000179157	
100132672	GXYLT1P6	9	9q13	pseudogene		HGNC:50425	ENSG00000235310	
101929152	P3H2-AS1	3	3q28	ncRNA	LEPREL1-AS1	HGNC:40886	ENSG00000225764	
388339	RPS18P12	17	17p12	pseudogene		HGNC:35967	ENSG00000230897	
57484	RNF150	4	4q31.21	protein-coding	KIAA1214	HGNC:23138	ENSG00000170153	
401247	LINC00243	6	6p21.33	ncRNA	C6orf214|NCRNA00243|bQB230F21.2|FLJ40693|bQB10J12.2	HGNC:30956	ENSG00000214894	
401242	LINC01623	6	6p22.1	ncRNA		HGNC:52050	ENSG00000225595	
57489	ODF2L	1	1p22.3	protein-coding	KIAA1229	HGNC:29225	ENSG00000122417	
28722	TRAJ33	14	14q11.2	other		HGNC:12063	ENSG00000211856	
260293	CYP4X1	1	1p33	protein-coding	MGC40051	HGNC:20244	ENSG00000186377	
260294	NSUN5P2	7	7q11.23	pseudogene	NSUN5C|WBSCR20C|MGC15057|FLJ11626|DKFZp434K058|NOL1R2|WBSCR20B	HGNC:16609	ENSG00000106133	
270	AMPD1	1	1p13.2	protein-coding	MAD|MADA	HGNC:468	ENSG00000116748	
271	AMPD2	1	1p13.3	protein-coding	SPG63	HGNC:469	ENSG00000116337	
272	AMPD3	11	11p15.4	protein-coding		HGNC:470	ENSG00000133805	
273	AMPH	7	7p14.1	protein-coding		HGNC:471	ENSG00000078053	
274	BIN1	2	2q14.3	protein-coding	AMPHL|SH3P9|AMPH2	HGNC:1052	ENSG00000136717	
275	AMT	3	3p21.31	protein-coding	GCST|NKH	HGNC:473	ENSG00000145020	
276	AMY1A	1	1p21.1	protein-coding	AMY1	HGNC:474	ENSG00000237763	
277	AMY1B	1	1p21.1	protein-coding		HGNC:475	ENSG00000174876	
278	AMY1C	1	1p21.1	protein-coding		HGNC:476	ENSG00000187733	
279	AMY2A	1	1p21.1	protein-coding	AMY2	HGNC:477	ENSG00000243480	
286239	ME2P1	9	9p21.1	pseudogene		HGNC:49809	ENSG00000230097	
286238	LINC02843	9	9q22.1	ncRNA	LOC286238	HGNC:27847	ENSG00000228189	
105379268	FAM197Y8	Y	Yp11.2	ncRNA		HGNC:37470	ENSG00000225560	
105379269	FAM197Y7	Y	Yp11.2	ncRNA	FAM197Y7P	HGNC:37469	ENSG00000228383	
136895	SPMIP4	7	7p15.3	protein-coding	C7orf31	HGNC:21722	ENSG00000153790	
153770	PLAC8L1	5	5q32	protein-coding		HGNC:31746	ENSG00000173261	
106481108	RN7SL678P	21	21q22.13	pseudogene		HGNC:46694	ENSG00000263969	
106481109	RN7SL683P	14	14q24.2	pseudogene		HGNC:46699	ENSG00000242330	
63027	SLC22A23	6	6p25.2	protein-coding	C6orf85|FLJ22174	HGNC:21106	ENSG00000137266	
9258	MFHAS1	8	8p23.1	protein-coding	MASL1|LRRC65	HGNC:16982	ENSG00000147324	
55293	UEVLD	11	11p15.1	protein-coding	Attp|UEV3	HGNC:30866	ENSG00000151116	
106481100	RN7SL649P	1	1p36.22	pseudogene		HGNC:46665	ENSG00000243539	
106481101	RN7SL653P	1	1p22.1	pseudogene		HGNC:46669	ENSG00000239794	
9254	CACNA2D2	3	3p21.31	protein-coding	KIAA0558|alpha2delta-2	HGNC:1400	ENSG00000007402	
9255	AIMP1	4	4q24	protein-coding	SCYE1|EMAPII|EMAP-2|p43	HGNC:10648	ENSG00000164022	
106481104	RN7SL665P	9	9q34.11	pseudogene		HGNC:46681	ENSG00000264169	
9253	NUMBL	19	19q13.2	protein-coding	NUMB-R|CTG3a|CAG3A|TNRC23|NUMBR|NUMBLIKE	HGNC:8061	ENSG00000105245	
106481106	RN7SL672P	20	20q13.13	pseudogene		HGNC:46688	ENSG00000239742	
106481107	RN7SL675P	8	8q13.3	pseudogene		HGNC:46691	ENSG00000239580	
10418	SPON1	11	11p15.2	protein-coding	KIAA0762|f-spondin	HGNC:11252	ENSG00000262655	
101928440	FBXO3-DT	11	11p13	ncRNA	FBXO3-AS1	HGNC:51147	ENSG00000254508	
127379718	CDC42EP3-AS1	2	2p22.2	ncRNA	AC006369.1	HGNC:56370	ENSG00000236213	
353267	RAMACL	6	6q27	protein-coding	C6orf119|FAM103A2P|RAMMETL|dJ427A4.2	HGNC:21234	ENSG00000235272	
127379715	LINC03057	17	17q21.32	ncRNA	lnc-HOXB8-1:2	HGNC:56359	ENSG00000272763	
105379194	CTNNA1-AS1	5	5q31.2	ncRNA		HGNC:55535	ENSG00000253404	
127379717	LINC03059	14	14q22.3	ncRNA	RP11-108M12.3	HGNC:56366	ENSG00000258592	
127379710	VPS51P17	11	11q13.2	pseudogene		HGNC:56449	ENSG00000255230	
127379711	VPS51P19	8	8p23.1	pseudogene		HGNC:56451	ENSG00000254581	
127379712	HYDINP1	3	3p12.2	pseudogene		HGNC:56452	ENSG00000242586	
127379713	ARHGEF28P1	3	3q12.1	pseudogene		HGNC:56460	ENSG00000240572	
100507091	PITPNM2-AS1	12	12q24.31	ncRNA		HGNC:53391	ENSG00000251497	
110599590	C5-OT1	9	9q33.2	ncRNA	C5T1lncRNA	HGNC:53618		
100507097	ATP5MC2P3	2	2q33.1	pseudogene	ATP5G2P3	HGNC:42187	ENSG00000230482	
100507096	GIMD1	4	4q24	protein-coding		HGNC:44141	ENSG00000250298	
100507099	FRY-AS1	13	13q13.1	ncRNA		HGNC:39725	ENSG00000237637	
100507098	ADAMTS9-AS2	3	3p14.1	ncRNA		HGNC:42435	ENSG00000241684	
124359	CDYL2	16	16q23.2	protein-coding	FLJ38866	HGNC:23030	ENSG00000166446	
109616972	SNORA68B	19	19q13.11	snoRNA		HGNC:52213	ENSG00000201388	
109616973	SNORA70J	5	5q35.1	snoRNA		HGNC:52216	ENSG00000206909	
100506325	SP2-AS1	17	17q21.32	ncRNA		HGNC:51341	ENSG00000234494	
100506328	LINC01127	2	2q11.2	ncRNA		HGNC:49292	ENSG00000281162	
387856	CCDC184	12	12q13.11	protein-coding	C12orf68|LOC387856	HGNC:33749	ENSG00000177875	
387853	OR7A19P	12	12q13.11	pseudogene		HGNC:15337	ENSG00000272963	
90313	TP53I13	17	17q11.2	protein-coding	DSCP1	HGNC:25102	ENSG00000167543	
54041	VN1R8P	21	21q11.2	pseudogene	ORLP2	HGNC:8497	ENSG00000219280	
90316	TGIF2LX	X	Xq21.31	protein-coding		HGNC:18570	ENSG00000153779	
90317	ZNF616	19	19q13.41	protein-coding	MGC45556	HGNC:28062	ENSG00000204611	
94081	SFXN1	5	5q35.2	protein-coding	FLJ12876|SLC56A1	HGNC:16085	ENSG00000164466	
112950	MED8	1	1p34.2	protein-coding	MGC17544|MGC19641|ARC32	HGNC:19971	ENSG00000159479	
339789	LINC00299	2	2p25.1	ncRNA	C2orf46|NCRNA00299|FLJ45673	HGNC:27940	ENSG00000236790	
105370014	LINC02423	12	12q24.23	ncRNA		HGNC:53353	ENSG00000256750	
105370015	LINC02440	12	12q24.23	ncRNA		HGNC:53372	ENSG00000255618	
105370016	LINC02439	12	12q24.23	ncRNA		HGNC:53371	ENSG00000255814	
390131	OR4A6P	11	11q11	pseudogene		HGNC:15163	ENSG00000255078	
256297	PTF1A	10	10p12.2	protein-coding	PTF1-p48|bHLHa29|p48	HGNC:23734	ENSG00000168267	
105370013	LINC02460	12	12q24.23	ncRNA		HGNC:53396	ENSG00000255714	
107126286	SEPTIN14P22	Y	Yq11.23	pseudogene	SEPT14P22	HGNC:51708	ENSG00000248792	
107126287	BCRP9	13	13q21.32	pseudogene		HGNC:49113	ENSG00000271287	
107126284	SEPTIN14P18	1	1p36.33	pseudogene	SEPT14P18	HGNC:51705		
